Exercise Name,Primary Muscle Group(s),Calories Burned per min / set (avg range),Category,Equipment Required,Description,Difficulty Level
Calves V-Up,Calves,11-14 kcal/min,Core,Resistance Band,"This is a core exercise that primarily targets the calves. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Core Snatch,Core,5-15 kcal/min,Power,Resistance Band,"This is a power exercise that primarily targets the core. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Calves Medicine Ball Slam,Calves,3-16 kcal/min,Power,Barbell,"This is a power exercise that primarily targets the calves. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Quadriceps Windshield Wiper,Quadriceps,7-19 kcal/min,Core,Cable,"This is a core exercise that primarily targets the quadriceps. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Triceps Rotation,Triceps,8-13 kcal/min,Mobility,Medicine Ball,"This is a mobility exercise that primarily targets the triceps. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Quadriceps Medicine Ball Slam,Quadriceps,14-10 kcal/min,Power,Barbell,"This is a power exercise that primarily targets the quadriceps. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Full Body Leg Raise,Full Body,6-15 kcal/min,Core,Dumbbell,"This is a core exercise that primarily targets the full body. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Biceps Heel Raise,Biceps,5-11 kcal/min,Rehab,Resistance Band,"This is a rehab exercise that primarily targets the biceps. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Shoulders Band Walk,Shoulders,3-12 kcal/min,Rehab,Barbell,"This is a rehab exercise that primarily targets the shoulders. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Hamstrings Pilates Move,Hamstrings,3-13 kcal/min,Mobility,Bodyweight,"This is a mobility exercise that primarily targets the hamstrings. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Back Leg Raise,Back,7-16 kcal/min,Core,Barbell,"This is a core exercise that primarily targets the back. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Triceps Jump Rope,Triceps,15-11 kcal/min,Cardio,Bodyweight,"This is a cardio exercise that primarily targets the triceps. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Quadriceps Crunch,Quadriceps,9-18 kcal/min,Core,Resistance Band,"This is a core exercise that primarily targets the quadriceps. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Core Step-Up,Core,7-20 kcal/min,Cardio,Cable,"This is a cardio exercise that primarily targets the core. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Back Bird Dog,Back,8-11 kcal/min,Rehab,Machine,"This is a rehab exercise that primarily targets the back. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Core Broad Jump,Core,5-13 kcal/min,Power,Resistance Band,"This is a power exercise that primarily targets the core. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Core Reach,Core,14-19 kcal/min,Mobility,Cable,"This is a mobility exercise that primarily targets the core. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Shoulders Elliptical,Shoulders,4-14 kcal/min,Cardio,Cable,"This is a cardio exercise that primarily targets the shoulders. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Hamstrings Snatch,Hamstrings,9-13 kcal/min,Power,Kettlebell,"This is a power exercise that primarily targets the hamstrings. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Biceps Sit-Up,Biceps,11-17 kcal/min,Core,Medicine Ball,"This is a core exercise that primarily targets the biceps. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Legs Side Bend,Legs,13-17 kcal/min,Core,Medicine Ball,"This is a core exercise that primarily targets the legs. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Core Curl,Core,13-14 kcal/min,Strength,Resistance Band,"This is a strength exercise that primarily targets the core. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Mobility/Stretch Dip,Mobility/Stretch,9-19 kcal/min,Strength,Cable,"This is a strength exercise that primarily targets the mobility/stretch. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Triceps Rotation,Triceps,5-19 kcal/min,Mobility,Dumbbell,"This is a mobility exercise that primarily targets the triceps. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Biceps Mountain Climber,Biceps,12-14 kcal/min,Cardio,Barbell,"This is a cardio exercise that primarily targets the biceps. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Biceps Plank,Biceps,13-15 kcal/min,Core,Resistance Band,"This is a core exercise that primarily targets the biceps. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Back Heel Raise,Back,15-16 kcal/min,Rehab,Bodyweight,"This is a rehab exercise that primarily targets the back. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Legs High Pull,Legs,10-19 kcal/min,Power,None,"This is a power exercise that primarily targets the legs. It is performed using none and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Hamstrings Mountain Climber,Hamstrings,8-17 kcal/min,Cardio,None,"This is a cardio exercise that primarily targets the hamstrings. It is performed using none and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Back Split Jerk,Back,8-14 kcal/min,Power,Resistance Band,"This is a power exercise that primarily targets the back. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Biceps Hollow Hold,Biceps,3-20 kcal/min,Core,Bodyweight,"This is a core exercise that primarily targets the biceps. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Triceps Bird Dog,Triceps,10-13 kcal/min,Rehab,Machine,"This is a rehab exercise that primarily targets the triceps. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
